EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;TOLL_POINT_TYPE;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
1506096720;1500334751;597.322;Virtual;MINISTRY OF TRANSPORTATION;c818db06fbfb4b12b09d9389b950b125;20120802134924;20210731081808;5211
1506096765;1500358531;754.039;Virtual;MINISTRY OF TRANSPORTATION;c83d5217fe0d4453b039a95c44a4b99e;20120628150800;20210731081808;5212
1506096813;1500531192;428.672;Virtual;MINISTRY OF TRANSPORTATION;3887c6320bfb4e4fbbab6425ce0428bf;20181221110428;20210731081808;5213
1506096726;1500317860;207.136;Virtual;MINISTRY OF TRANSPORTATION;53e169291d55426b9267005a4a13b3fd;20130527150555;20210731081808;5214
1506096824;1500612053;343.960;Virtual;MINISTRY OF TRANSPORTATION;130b46b18d594f4e8494413a893dae86;20120410095504;20210731081808;5215
1506096690;1500344873;230.472;Virtual;MINISTRY OF TRANSPORTATION;07d5b409aaed4437b6f252396f3cbc65;20100903103019;20210731081808;5216
1506096856;1500360647;499.868;Virtual;MINISTRY OF TRANSPORTATION;ef421b0a16854ca19a75a71daaa98de5;20090123155815;20210731081808;5217
1506096768;1500409353;509.904;Virtual;MINISTRY OF TRANSPORTATION;47b144982e374fe89fabed83087b6bab;20120208115143;20210731081808;5218
1506096776;1500454545;431.703;Virtual;MINISTRY OF TRANSPORTATION;16f299f3557d48d19ed5b7df135c1ed5;20120208120113;20210731081808;5219
1506096688;1500471496;398.242;Virtual;MINISTRY OF TRANSPORTATION;a5c58ae96ae94e55b4888858ab65ec53;20100903103212;20210731081808;5220
1506096845;1500522624;784.929;Virtual;MINISTRY OF TRANSPORTATION;aa483e5849984c1da776a056150402a4;20120208113554;20210731081808;5221
1506096713;1500540829;166.802;Virtual;MINISTRY OF TRANSPORTATION;cf3567821024490f9c8e0bc268660f35;20120203143136;20210731081808;5222
1506096680;1500572300;298.463;Virtual;MINISTRY OF TRANSPORTATION;40eac2f3a6744099b078baa1e22bcbfd;20210603160535;20210731081808;5223
1506096773;1500593380;236.612;Virtual;MINISTRY OF TRANSPORTATION;d35bc78300d1401a842c5b4c61b570e6;20120206133714;20210731081808;5224
1506096691;1500627745;245.570;Virtual;MINISTRY OF TRANSPORTATION;d92c5fb95cfa474cacbbd3762714f318;20090123155815;20210731081808;5225
