EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;BLOCKED_PASSAGE_TYPE;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
1502527050;1500667553;827.830;Removable;;d995db588aae4ae78ff9fbeaa4cf6d38;20141125100402;20210731081808;5727076
1502526510;1500684566;0.000;Removable;;780bfb78689c491d9f66356e6b79997b;20131121091733;20210731081808;5727077
1502525542;1500698010;0.000;Removable;;9488ea82820b4e8a9c29b7278340ecf7;20090123131209;20210731081808;5727080
1502524777;1500701064;0.000;Removable;;5d9426017986418c985c66707e79c67a;20090123131209;20210731081808;5727081
1502525320;1500705472;0.000;Removable;;d3f09d55cb5c47df846c5e9dde2a4466;20090123131209;20210731081808;5727082
1502524358;1500710444;68.568;Removable;;6327ba6f8c2249f9b478b4c545c4583c;20090123131209;20210731081808;5727083
1502524470;1500718648;120.753;Removable;;ec1fb0221cf84eea8bbc9b2e424b134b;20090123131209;20210731081808;5727085
1502526382;1500581829;0.000;Removable;;524c1e65c5b04339a7d9b84b8dbedf53;20130521095423;20210731081808;5727086
1502524170;1500725631;31.900;Removable;;ae229b0ce90040689e9a264f5ac0692b;20090123131209;20210731081808;5727087
1502523101;1500733709;0.000;Removable;;16756929940e4520bb9502d324013f68;20090123131209;20210731081808;5727088
1506955262;1506919565;0.000;Permanent;;2f14f3d13aa34dcc81a3460ed0445dda;20130412135805;20210731081808;5727090
1502525676;1507258497;617.463;Removable;;89d15c34328443c1b2d9831e86b078c5;20090123131209;20210731081808;5727091
1502525810;1507262997;65.110;Removable;;3e74aaac3dc743ac8624eac32f7ddd46;20100622141555;20210731081808;5727092
1502522808;1507349552;124.453;Removable;;75cce9351fd94dcd9286aa60f33010cd;20190115113420;20210731081808;5727093
1502526856;1507341451;4.199;Removable;;a03c638987d847008c3a154410c3b39c;20160224115200;20210731081808;5727094
1502522900;1508277537;0.000;Removable;;9086708b42bb46f8b4f7a74746abb427;20091022155646;20210731081808;5727095
1502525751;1500363287;1466.993;Removable;;348505ef9a7e4cab9382008e4f842f98;20090123155815;20210731081808;5727096
1502525310;1500370532;75.719;Removable;;73aa57952805442c893827e2c59d680c;20090123155815;20210731081808;5727097
1502527103;1500406223;0.000;Removable;;cf794cb6855e43c1bd491787f5ae30a8;20090123155815;20210731081808;5727099
1502524922;1500433371;20.885;Removable;;409c4cde220241dd822be964a1e58108;20090123155815;20210731081808;5727101
1502525815;1500527503;1707.483;Removable;;7e7f5a8c9ef346468f69c1cdee7525ee;20090514130151;20210731081808;5727103
1502523827;1500549899;22.016;Removable;;4c86d52f13ce46d8b4f7c6873c461c14;20090123095704;20221013112925;5729719
7631106;5839951;18.367;Removable;ONTARIO ROAD NETWORK;f51c8679a163477cbb52928c238222c7;20210803110848;20210804133425;5728361
1502523365;1500594817;775.604;Removable;;a1727c3b51e44c9f8ff057aa049136ac;20100622141555;20191011150817;5722886
5833997;5833967;28.147;Removable;MINISTRY OF NATURAL RESOURCES AND FORESTRY;39019720979740cdaac2c4819821358a;20160223145506;20221026150925;5729760
7581732;7581719;22.500;Removable;ONTARIO ROAD NETWORK;ab87c14ae7f94658b372c204e214309c;20210212160853;20210217145656;5725020
1502526954;1507660160;36.400;Removable;;7f575e6c002b4a18840e09cf26e828eb;20160504131742;20191011150817;5722923
3608142;1510669835;0.000;Removable;;0ed1ed234756471f903223fbea7a8074;20140501160341;20210421143954;5725160
1502524206;1500417584;0.000;Removable;;a72c1162b7194c86bed875a516e2435d;20091022155646;20191011150817;5722934
1502525784;1500737722;390.164;Removable;;605e139399ad47c7b83b8e52e9a99689;20150310102948;20191011150817;5722951
1502526726;1500340057;136.838;Removable;;0e5471442ad84df4937e81ab18fa117e;20140507155646;20191011150817;5722955
5533525;1507400158;20.118;Removable;MINISTRY OF NATURAL RESOURCES AND FORESTRY;c9de4d88ff7d453bab7fc059aa9eabd4;20130321140407;20210731081808;5725319
5560632;1500675700;224.361;Permanent;MINISTRY OF NATURAL RESOURCES AND FORESTRY;ac2327deaee440148c6e3250fe8aac09;20130409104518;20210731081808;5725320
1502522949;1500394753;925.714;Removable;;96d5199e8f56439089e0d35e203430f3;20090123095704;20191011150817;5722967
5587319;1500503733;48.125;Permanent;MINISTRY OF NATURAL RESOURCES AND FORESTRY;86f95585e20b4044a806662d1267ed19;20191024103642;20210731081808;5725321
5592815;1506918219;209.068;Permanent;MINISTRY OF NATURAL RESOURCES AND FORESTRY;d79f35ac8f584e29bf957e672c34847b;20130423144903;20210731081808;5725322
5597568;5597549;25.284;Removable;MINISTRY OF NATURAL RESOURCES AND FORESTRY;97dd94546a6949a2af34c0286edfe323;20130425095839;20210731081808;5725323
5624400;3899066;27.153;Removable;MINISTRY OF NATURAL RESOURCES AND FORESTRY;340f94317eb34117a89e8df5e6481486;20141103153739;20210731081808;5725324
5663640;5663635;13.026;Removable;MINISTRY OF NATURAL RESOURCES AND FORESTRY;a6518e29b446437dad18f4c978bdc1d6;20130617161435;20210731081808;5725325
5690046;1500348555;270.102;Removable;MINISTRY OF NATURAL RESOURCES AND FORESTRY;acf39365fb2a4d49b81c40608e952754;20151021115629;20210731081808;5725327
5784275;1500699000;0.000;Permanent;MINISTRY OF NATURAL RESOURCES AND FORESTRY;5b711b8e94f745ebb0a3e6bb0f2f709f;20130909124234;20210731081808;5725328
